Item Name,Item Category,Pack,Period,Quantity Used,PSU Semester
SHIRT ABS POLO WMNS BLK XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NAVY 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NAVY 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NAVY LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NAVY MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NAVY XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NVY/WHT 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NVY/WHT 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NVY/WHT L,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NVY/WHT M,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS NVY/WHT XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS BLK 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS BLK 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS BLK LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS BLK MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS BLK XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NAVY 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NAVY 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NAVY LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NAVY MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NAVY XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NVY/WHT 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NVY/WHT 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NVY/WHT L,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NVY/WHT M,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO MENS NVY/WHT XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS BLK 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS BLK 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS BLK LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS BLK MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS BLK XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NAVY 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NAVY 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NAVY LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NAVY MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NAVY XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NVY/WHT 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NVY/WHT 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NVY/WHT L,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NVY/WHT M,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT HFS POLO WMNS NVY/WHT XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT POLO NAVY 2XLARGE,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT POLO NAVY 3XLARGE,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT POLO NAVY 4XLARGE,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT POLO NAVY LARGE,Food,EACH,06/24/25-07/31/25,24,Summer Semester
SHIRT POLO NAVY MEDIUM,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT POLO NAVY SMALL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT POLO NAVY W/PKT 4XLARGE,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT POLO NAVY XLARGE,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT TEE NAVY 2XLARGE,Food,EACH,06/24/25-07/31/25,12,Summer Semester
SHIRT TEE NAVY 3XLARGE,Food,EACH,06/24/25-07/31/25,10,Summer Semester
SHIRT TEE NAVY LARGE,Food,EACH,06/24/25-07/31/25,50,Summer Semester
SHIRT TEE NAVY MEDIUM,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT TEE NAVY SMALL,Food,EACH,06/24/25-07/31/25,22,Summer Semester
SHIRT TEE NAVY XLARGE,Food,EACH,06/24/25-07/31/25,11,Summer Semester
SHIRT WORK HFS NAVY - 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - 2XLTALL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - 3XLTALL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - 4XLTALL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - LARGE,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - MED,Food,EACH,06/24/25-07/31/25,3,Summer Semester
SHIRT WORK HFS NAVY - SMALL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT WORK HFS NAVY - XLTALL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRTABS POLO WMNS BLK LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHLFSH MUSSELS FRESH CULT LIVE,Food,10 LB OR 192,06/24/25-07/31/25,0,Summer Semester
SHLFSH OYSTER,Food,100 CT/BAG,06/24/25-07/31/25,0,Summer Semester
SHLFSH OYSTER SHUCKED,Food,220 EA/GALLON,06/24/25-07/31/25,0,Summer Semester
SHLFSH SCALLOPS BAY,Food,CATCH WGT/#,06/24/25-07/31/25,0,Summer Semester
SHLFSH SCALLOPS SEA DRY PACK,Food,LB,06/24/25-07/31/25,0,Summer Semester
SHLFSH SHRIMP BRD 16-20CT,Food,CATCH WGT/#,06/24/25-07/31/25,0,Summer Semester
SHLFSH SHRIMP BRD POPCORN,Food,CATCH WGT/#,06/24/25-07/31/25,254,Summer Semester
SHLFSH SHRIMP RAW P&D16-20CT,Food,CATCH WGT/#,06/24/25-07/31/25,40,Summer Semester
SHLFSH SHRIMP RAW PD 21-25CT,Food,CATCH WGT/#,06/24/25-07/31/25,390,Summer Semester
SHLFSH SHRIMP RAW PLD NO TAIL,Food,CATCH WGT/#,06/24/25-07/31/25,700,Summer Semester
SHORT LIQ FRYING,Food,35#/CNTR,06/24/25-07/31/25,49,Summer Semester
SLEEVE BURN CUT RESISTANT,Food,12 EA/PK,06/24/25-07/31/25,6,Summer Semester
