Item Name,PSU Semester,Quantity Used
# CHO MANGO LASSI,Spring Semester,54.0
# CHO MANGO LASSI,Summer Semester,14.333333333333334
# CHO MANGO LASSI,Winter Break,70.0
# CHO MANGO LEMONADE CONCENTRATE,Fall Semester,29.666666666666668
# CHO MANGO LEMONADE CONCENTRATE,Spring Semester,16.75
# CHO MANGO LEMONADE CONCENTRATE,Summer Semester,3.6666666666666665
# CHO MANGO LEMONADE CONCENTRATE,Winter Break,20.5
# CHO MARINADE CHIX SALMON PANEER,Fall Semester,99.66666666666667
# CHO MARINADE CHIX SALMON PANEER,Spring Semester,78.0
# CHO MARINADE CHIX SALMON PANEER,Summer Semester,20.0
# CHO MARINADE CHIX SALMON PANEER,Winter Break,87.0
# CHO MINT GINGER LEMONADE CONC,Fall Semester,11.0
# CHO MINT GINGER LEMONADE CONC,Spring Semester,4.5
# CHO MINT GINGER LEMONADE CONC,Summer Semester,2.0
# CHO MINT GINGER LEMONADE CONC,Winter Break,6.0
# CHO PC SAUCE HOT OMG,Fall Semester,3.0
# CHO PC SAUCE HOT OMG,Spring Semester,2.75
# CHO PC SAUCE HOT OMG,Summer Semester,0.6666666666666666
# CHO PC SAUCE HOT OMG,Winter Break,1.0
# CHO PC SAUCE HOT OUCH,Fall Semester,2.3333333333333335
# CHO PC SAUCE HOT OUCH,Spring Semester,2.5
# CHO PC SAUCE HOT OUCH,Summer Semester,0.6666666666666666
# CHO PC SAUCE HOT OUCH,Winter Break,1.0
# CHO PC SAUCE HOT WHOA,Fall Semester,2.6666666666666665
# CHO PC SAUCE HOT WHOA,Spring Semester,2.5
# CHO PC SAUCE HOT WHOA,Summer Semester,0.6666666666666666
# CHO PC SAUCE HOT WHOA,Winter Break,1.0
# CHO SAMOSA,Fall Semester,20.666666666666668
# CHO SAMOSA,Spring Semester,11.5
# CHO SAMOSA,Summer Semester,3.0
# CHO SAMOSA,Winter Break,9.5
# CHO SAUCE BULK HOT OMG,Fall Semester,7.0
# CHO SAUCE BULK HOT OMG,Spring Semester,1.5
# CHO SAUCE BULK HOT OMG,Summer Semester,0.0
# CHO SAUCE BULK HOT OMG,Winter Break,4.0
# CHO SAUCE BUTTER MASALA,Fall Semester,46.666666666666664
# CHO SAUCE BUTTER MASALA,Spring Semester,24.5
# CHO SAUCE BUTTER MASALA,Summer Semester,0.0
# CHO SAUCE BUTTER MASALA,Winter Break,71.0
# CHO SAUCE MINT YOGURT,Fall Semester,11.333333333333334
# CHO SAUCE MINT YOGURT,Spring Semester,6.5
# CHO SAUCE MINT YOGURT,Summer Semester,1.3333333333333333
# CHO SAUCE MINT YOGURT,Winter Break,8.5
# CHO SAUCE SPICY MANGO,Fall Semester,8.0
# CHO SAUCE SPICY MANGO,Spring Semester,4.25
# CHO SAUCE SPICY MANGO,Summer Semester,2.6666666666666665
# CHO SAUCE SPICY MANGO,Winter Break,7.0
# CHO SAUCE SWEET TANGO,Fall Semester,5.333333333333333
# CHO SAUCE SWEET TANGO,Spring Semester,1.0
# CHO SAUCE SWEET TANGO,Summer Semester,0.0
# CHO SAUCE SWEET TANGO,Winter Break,6.0
# CHO SOUP BLACK LENTIL,Fall Semester,52.666666666666664
# CHO SOUP BLACK LENTIL,Spring Semester,40.5
# CHO SOUP BLACK LENTIL,Summer Semester,10.0
# CHO SOUP BLACK LENTIL,Winter Break,41.0
# CHO SOUP CHICKPEA MASALA,Fall Semester,55.666666666666664
# CHO SOUP CHICKPEA MASALA,Spring Semester,41.0
# CHO SOUP CHICKPEA MASALA,Summer Semester,10.666666666666666
# CHO SOUP CHICKPEA MASALA,Winter Break,40.0
# CHO SOUP TIKKA MASALA,Fall Semester,167.0
# CHO SOUP TIKKA MASALA,Spring Semester,103.5
# CHO SOUP TIKKA MASALA,Summer Semester,21.666666666666668
# CHO SOUP TIKKA MASALA,Winter Break,92.5
# CHO SOUP YELLOW LENTIL,Fall Semester,34.333333333333336
# CHO SOUP YELLOW LENTIL,Spring Semester,21.5
# CHO SOUP YELLOW LENTIL,Summer Semester,8.666666666666666
# CHO SOUP YELLOW LENTIL,Winter Break,21.5
