Product,Unit,Order Qty,Avg Monthly Usage,Stock on Hand,Priority,Seasonal Peak
Seaweed Salad,4-4.4 #/CS,88,12,6,C,False
Veg Beans Refried,6 #10CN/CASE,84,30,2,C,False
Wrap Foil Sub 14X16,1000/CASE,84,18,1,C,False
Crust Pinsa Classica,20 EA/CS,75,76,9,C,False
Shirt Polo Navy 2Xlarge,EACH,70,65,2,C,False
Shirt Polo Navy Small,EACH,66,66,7,C,False
Bread Naan Dipper,2-175 CT/CS,65,40,5,C,False
Bakea Mix Muffin / Pound Cake,50 LB/BAG,64,36,5,C,False
# Bjc Hot Dog Beef 8/#,CATCH WGT/#,57,53,2,C,False
$$ Nongshim Soon Ramen Cup,6 EA/CS,55,31,7,C,False
Pork Sausage Topping,10 #/CASE,55,26,1,C,False
Sauce Franks Buffalo Disp Pack,2-1.5 GAL/CS,54,30,7,C,False
$$ Yog Chob Protein Strawb Kiwi,12 EA/CS,52,48,1,C,False
Bowl Soup 12 Oz Compost,500 EA/CS,50,28,9,C,False
# Cheez Whiz Spread Pouch,6-6.5#/CS,50,22,1,C,False
Pc Dress Ff Honey Dijon,60 EA/CS,49,7,3,C,False
$$ Halal Sr Butter Chicken,8 EA/CS,48,20,13,C,False
Seitan Bulk Ref,2-5 LB/CS,47,28,2,C,False
Pork Sausage Ital Hot Rope,CATCH WGT/#,47,48,6,C,False
Deli Gyros Loaf Slcd 1/3Oz Halal,4-5#/CASE,46,27,12,C,False
Beef Round Top Mbg #168 Choice,CATCH WGT/#,45,60,11,C,True
$$ Binggrae Milk Banana,24 EA/CS,42,31,8,C,False
